[2020-02-11 08:08:54,977] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-02-11 08:08:55,051] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-02-11 08:09:01,310] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-02-11 08:09:01,310] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-02-11 08:09:01,311] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-02-11 08:09:01,311] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-02-11 08:09:10,118] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-02-11 08:09:10,189] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-02-11 08:09:22,684] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-02-11 08:09:22,755] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
